Nail Size,Gauge,Shank_Diameter_(inches),Shank_Length_(inches),Head_Diameter_(inches),Nail_type,Data_source
2d,15,0.072,1,"3/16""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
,14,0.083,1,"13/64""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
3d,14,0.083,1.25,"13/64""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
4d,12,0.109,1.5,"1/4""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
5d,12,0.109,1.75,"1/4""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
6d,11,0.12,2,"17/64""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
8d,10,0.134,2.5,"9/32""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
10d,9,0.148,3,"5/16""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
12d,9,0.148,3.25,"5/16""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
16d,8,0.165,3.5,"11/32""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
20d,6,0.203,4,"13/32""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
30d,5,0.22,4.5,"7/16""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
40d,4,0.238,5,"15/32""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
60d,4,0.238,6,"17/32""",Common Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
3d,14-1/2,0.076,1.25,NA,Box Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
4d,14,0.08,1.5,NA,Box Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
5d,14,0.08,1.75,NA,Box Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
6d,12/1/02,0.098,2,NA,Box Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
7d,12-1/2 ,0.098,2.25,NA,Box Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
8d,11/1/02,0.113,2.5,NA,Box Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
10d,10/1/02,0.128,3,NA,Box Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
16d,10,0.135,3.5,NA,Box Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
20d,9,0.148,4,NA,Box Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
6d,NA,0.12,2,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
8d,NA,0.12,2.5,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
10d,NA,0.135,3,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
12d,NA,0.135,3.25,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
16d,NA,0.148,3.5,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
20d,NA,0.177,4,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
30d,NA,0.177,4.5,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
40d,NA,0.177,5,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
50d,NA,0.177,5.5,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
60d,NA,0.177,6,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
70d,NA,0.207,7,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
80d,NA,0.207,8,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/
90d,NA,0.207,9,NA,Annular & Threaded Nails,https://www.thomasnet.com/articles/hardware/screw-nail-sizes/